#,Company,Symbol,Weight,      Price,Chg,% Chg
282,Old Dominion Freight Line Inc.,ODFL,0.067515,   207.02,0.85,-0.41%
283,Simon Property Group Inc.,SPG,0.066967,   62.20,-1.27,(-2.00%)
284,LyondellBasell Industries NV,LYB,0.065328,   72.67,-1.54,(-2.08%)
285,Take-Two Interactive Software Inc.,TTWO,0.064694,   175.19,6.51,-3.86%
286,Alexandria Real Estate Equities Inc.,ARE,0.063846,   157.12,-1.27,(-0.80%)
287,International Paper Company,IP,0.063257,   46.49,-0.4,(-0.85%)
288,Paycom Software Inc.,PAYC,0.062811,   388.12,14.86,-3.98%
289,CMS Energy Corporation,CMS,0.062733,   64.18,-0.26,(-0.40%)
290,Equifax Inc.,EFX,0.062554,   150.07,-1.58,(-1.04%)
291,Amcor PLC,AMCR,0.062473,   11.52,0.01,-0.09%
292,Zebra Technologies Corporation Class A,ZBRA,0.062334,   346.86,6.74,-1.98%
293,Vulcan Materials Company,VMC,0.062289,   134.69,-2.78,(-2.02%)
294,Equity Residential,EQR,0.061282,   51.52,-0.54,(-1.04%)
295,CBRE Group Inc. Class A,CBRE,0.060734,   52.27,-0.65,(-1.23%)
296,ViacomCBS Inc. Class B,VIAC,0.060641,   29.40,-1.89,(-6.04%)
297,Conagra Brands Inc.,CAG,0.060086,   36.07,-0.09,(-0.25%)
298,Kansas City Southern,KSU,0.059528,   183.43,-0.18,(-0.10%)
299,Las Vegas Sands Corp.,LVS,0.05939,   53.00,0.4,-0.76%
300,Etsy Inc.,ETSY,0.058915,   146.10,2.46,-1.71%
301,W.W. Grainger Inc.,GWW,0.058609,   390.63,11.79,-3.11%
302,Fifth Third Bancorp,FITB,0.058605,   23.21,-0.79,(-3.29%)
303,Dover Corporation,DOV,0.058529,   116.42,-0.95,(-0.81%)
304,Tyson Foods Inc. Class A,TSN,0.058405,   57.33,-0.38,(-0.66%)
305,Quest Diagnostics Incorporated,DGX,0.058366,   126.91,-1.14,(-0.89%)
306,Northern Trust Corporation,NTRS,0.058358,   81.66,0.08,-0.10%
307,Catalent Inc,CTLT,0.057819,   103.31,0.83,-0.81%
308,Qorvo Inc.,QRVO,0.057601,   147.27,0.58,-0.40%
309,Akamai Technologies Inc.,AKAM,0.05703,   101.63,-1.08,(-1.05%)
310,Broadridge Financial Solutions Inc.,BR,0.056767,   146.59,1.91,-1.32%
311,Teradyne Inc.,TER,0.056685,   100.38,1.06,-1.07%
312,Tyler Technologies Inc.,TYL,0.056192,   414.45,4.55,-1.11%
313,Garmin Ltd.,GRMN,0.056148,   115.20,1.93,-1.70%
314,Cooper Companies Inc.,COO,0.055838,   333.91,1.91,-0.58%
315,Xylem Inc.,XYL,0.055734,   91.08,0.26,-0.29%
316,Valero Energy Corporation,VLO,0.055638,   38.17,-1.36,(-3.44%)
